Country Name;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Canada;61,269;61,151;61,739;62,446;62,637;62,601;62,677;63,286;63,317;61,414;61,437;61,613;61,586;61,715;61,358;61,264;61,084;61,532;61,59;61,971;57,836;60,17;61,568;61,651;
United States;63,297;62,519;61,548;61,066;61,164;61,516;61,921;61,752;61,005;58,2;57,369;57,326;57,752;57,845;58,351;58,785;59,181;59,59;59,94;60,329;56,38;57,946;59,266;59,6;
